parameter,i,j,value
class,23,2,0.08123543
class,23,3,0.90378225
class,23,4,0.8537654
class,23,5,0.9001375
class,23,6,0.8607139
class,23,7,0.89465994
class,23,8,0.12451663
class,23,9,0.12164207
class,24,0,0.87493134
class,24,1,0.096270874
class,24,2,0.13474873
class,24,3,0.056780256
class,24,4,0.1566778
class,24,5,0.8274345
class,24,6,0.15138842
class,24,7,0.8383339
class,24,8,0.1770014
class,24,9,0.2507719
class,25,0,0.93511564
class,25,1,0.93415755
class,25,2,0.9364615
class,25,3,0.9132007
class,25,4,0.024871148
class,25,5,0.9517757
class,25,6,0.9256197
class,25,7,0.09385119
class,25,8,0.9635897
class,25,9,0.9071219
class,26,0,0.2176218
class,26,1,0.91563797
class,26,2,0.9227278
class,26,3,0.86584735
class,26,4,0.23125844
class,26,5,0.18298474
class,26,6,0.4486265
class,26,7,0.11083713
class,26,8,0.18270685
class,26,9,0.82665205
class,27,0,0.9381477
class,27,1,0.9163269
class,27,2,0.9242731
class,27,3,0.9246242
class,27,4,0.21238708
class,27,5,0.069939055
class,27,6,0.926032
class,27,7,0.14145836
class,27,8,0.9485395
class,27,9,0.9141107
class,28,0,0.2722596
class,28,1,0.10407248
class,28,2,0.81767786
class,28,3,0.9503134
class,28,4,0.91523135
class,28,5,0.14637879
class,28,6,0.952886
class,28,7,0.8954624
class,28,8,0.89365524
class,28,9,0.8807989
class,29,0,0.081288904
class,29,1,0.8692764
class,29,2,0.15608972
class,29,3,0.8492745
class,29,4,0.077224806
class,29,5,0.3168504
class,29,6,0.0799117
class,29,7,0.09045561
class,29,8,0.7574085
class,29,9,0.86163825
class,30,0,0.096521005
class,30,1,0.10066339
class,30,2,0.69193894
class,30,3,0.100882806
class,30,4,0.16266659
class,30,5,0.15714814
class,30,6,0.49938256
class,30,7,0.15949903
class,30,8,0.12147622
class,30,9,0.17412417
class,31,0,0.08015783
class,31,1,0.111015156
class,31,2,0.7929258
class,31,3,0.113315694
class,31,4,0.72431946
class,31,5,0.13279286
class,31,6,0.10382236
class,31,7,0.8528564
class,31,8,0.09506116
class,31,9,0.18086167
class,32,0,0.9240823
class,32,1,0.89903903
class,32,2,0.9320352
class,32,3,0.21254677
class,32,4,0.88772494
class,32,5,0.1224471
class,32,6,0.08642635
class,32,7,0.89829564
class,32,8,0.13525625
class,32,9,0.8707988
class,33,0,0.8827855
class,33,1,0.09946785
class,33,2,0.24390726
class,33,3,0.14082308
class,33,4,0.10638917
class,33,5,0.86610603
class,33,6,0.8109109
class,33,7,0.1148523
class,33,8,0.9034552
class,33,9,0.14874914
class,34,0,0.10082412
class,34,1,0.101415336
class,34,2,0.9288883
class,34,3,0.123201296
class,34,4,0.86876345
class,34,5,0.2533481
class,34,6,0.9227855
class,34,7,0.9118037
class,34,8,0.137248
class,34,9,0.8292583
class,35,0,0.8945489
class,35,1,0.077794276
class,35,2,0.3373102
class,35,3,0.8651589
class,35,4,0.0824462
class,35,5,0.34839088
class,35,6,0.1355865
class,35,7,0.09649268
class,35,8,0.8172908
class,35,9,0.77344924
class,36,0,0.7892217
class,36,1,0.81837434
class,36,2,0.13841985
class,36,3,0.085476264
class,36,4,0.21389094
class,36,5,0.11706653
class,36,6,0.2881831
class,36,7,0.9222744
class,36,8,0.17761928
class,36,9,0.6369706
class,37,0,0.8945118
class,37,1,0.088320866
class,37,2,0.9225665
class,37,3,0.08341998
class,37,4,0.9144649
class,37,5,0.88482696
class,37,6,0.78406876
class,37,7,0.8963413
class,37,8,0.12106071
class,37,9,0.8897535
class,38,0,0.92277914
class,38,1,0.9475608
class,38,2,0.070494995
class,38,3,0.96297145
class,38,4,0.26688573
class,38,5,0.9228177
class,38,6,0.37833557
class,38,7,0.09740369
class,38,8,0.9249688
class,38,9,0.89383554
class,39,0,0.88647574
class,39,1,0.0949267
class,39,2,0.9540657
class,39,3,0.95060575
class,39,4,0.94347405
class,39,5,0.9498175
class,39,6,0.93858963
class,39,7,0.15171744
class,39,8,0.93847513
class,39,9,0.9180899
class,40,0,0.8685328
class,40,1,0.080710955
class,40,2,0.87064385
class,40,3,0.91345125
class,40,4,0.09752181
class,40,5,0.88667625
class,40,6,0.073088855
class,40,7,0.10380351
class,40,8,0.11920776
class,40,9,0.13927549
class,41,0,0.08710218
class,41,1,0.8840806
class,41,2,0.87665796
class,41,3,0.12287318
class,41,4,0.8203239
class,41,5,0.13688816
class,41,6,0.55626273
class,41,7,0.86339617
class,41,8,0.07682136
class,41,9,0.91358536
class,42,0,0.0720933
class,42,1,0.8591456
class,42,2,0.8377413
class,42,3,0.13520542
class,42,4,0.7031601
