parameter,i,j,value
class,1942,3,0.15151966
class,1942,4,0.9317061
class,1942,5,0.9420801
class,1942,6,0.92790586
class,1942,7,0.13536802
class,1942,8,0.9424319
class,1942,9,0.9350227
class,1943,0,0.28868818
class,1943,1,0.93518496
class,1943,2,0.8504432
class,1943,3,0.95743996
class,1943,4,0.51004386
class,1943,5,0.95168424
class,1943,6,0.074815646
class,1943,7,0.13156506
class,1943,8,0.9171184
class,1943,9,0.7683244
class,1944,0,0.8239373
class,1944,1,0.11885334
class,1944,2,0.16230658
class,1944,3,0.06602313
class,1944,4,0.8442067
class,1944,5,0.09116727
class,1944,6,0.59275174
class,1944,7,0.8911463
class,1944,8,0.12639129
class,1944,9,0.5106355
class,1945,0,0.18043904
class,1945,1,0.8808529
class,1945,2,0.12650472
class,1945,3,0.069524854
class,1945,4,0.71411955
class,1945,5,0.15958205
class,1945,6,0.10595065
class,1945,7,0.14012742
class,1945,8,0.8000538
class,1945,9,0.8633586
class,1946,0,0.12184876
class,1946,1,0.10763937
class,1946,2,0.32238138
class,1946,3,0.8900177
class,1946,4,0.28948373
class,1946,5,0.913565
class,1946,6,0.82533234
class,1946,7,0.09030329
class,1946,8,0.9352417
class,1946,9,0.8393295
class,1947,0,0.07873163
class,1947,1,0.08157665
class,1947,2,0.19991904
class,1947,3,0.09033027
class,1947,4,0.6393256
class,1947,5,0.18563657
class,1947,6,0.8576355
class,1947,7,0.9227785
class,1947,8,0.7909698
class,1947,9,0.1838418
class,1948,0,0.91453356
class,1948,1,0.8923392
class,1948,2,0.15215364
class,1948,3,0.911751
class,1948,4,0.121266745
class,1948,5,0.15230837
class,1948,6,0.11880878
class,1948,7,0.8921977
class,1948,8,0.2238225
class,1948,9,0.83692634
class,1949,0,0.054935563
class,1949,1,0.87408125
class,1949,2,0.9326422
class,1949,3,0.9244515
class,1949,4,0.944274
class,1949,5,0.9125153
class,1949,6,0.07421741
class,1949,7,0.932418
class,1949,8,0.88896227
class,1949,9,0.0737632
class,1950,0,0.14004436
class,1950,1,0.90400183
class,1950,2,0.78148097
class,1950,3,0.074379444
class,1950,4,0.21883698
class,1950,5,0.81780946
class,1950,6,0.11082455
class,1950,7,0.11572467
class,1950,8,0.9403504
class,1950,9,0.16137739
class,1951,0,0.9364687
class,1951,1,0.8914817
class,1951,2,0.87195224
class,1951,3,0.9056429
class,1951,4,0.896674
class,1951,5,0.15856786
class,1951,6,0.928014
class,1951,7,0.047071252
class,1951,8,0.18948911
class,1951,9,0.93149984
class,1952,0,0.08186271
class,1952,1,0.08554286
class,1952,2,0.15912978
class,1952,3,0.79806983
class,1952,4,0.70731306
class,1952,5,0.24134034
class,1952,6,0.8024227
class,1952,7,0.096429974
class,1952,8,0.8656719
class,1952,9,0.122562505
class,1953,0,0.90452987
class,1953,1,0.17771208
class,1953,2,0.19472736
class,1953,3,0.106212445
class,1953,4,0.22427945
class,1953,5,0.7875999
class,1953,6,0.13380279
class,1953,7,0.8924702
class,1953,8,0.2266931
class,1953,9,0.8382729
class,1954,0,0.7895255
class,1954,1,0.14613947
class,1954,2,0.91699183
class,1954,3,0.9180437
class,1954,4,0.7996883
class,1954,5,0.8748329
class,1954,6,0.3370364
class,1954,7,0.075289294
class,1954,8,0.16338709
class,1954,9,0.317159
class,1955,0,0.8410521
class,1955,1,0.074320614
class,1955,2,0.2941338
class,1955,3,0.82489824
class,1955,4,0.3243314
class,1955,5,0.7522632
class,1955,6,0.10495084
class,1955,7,0.09103756
class,1955,8,0.080709524
class,1955,9,0.7557609
class,1956,0,0.94141227
class,1956,1,0.08919407
class,1956,2,0.16607633
class,1956,3,0.8899424
class,1956,4,0.9064483
class,1956,5,0.29936165
class,1956,6,0.22353506
class,1956,7,0.054900214
class,1956,8,0.87397623
class,1956,9,0.9174617
class,1957,0,0.087292396
class,1957,1,0.099679336
class,1957,2,0.82052934
class,1957,3,0.9197277
class,1957,4,0.13539691
class,1957,5,0.94275916
class,1957,6,0.9186314
class,1957,7,0.85758424
class,1957,8,0.08901271
class,1957,9,0.88103795
class,1958,0,0.07846297
class,1958,1,0.15597534
class,1958,2,0.38785443
class,1958,3,0.06379227
class,1958,4,0.51973397
class,1958,5,0.7617894
class,1958,6,0.12899834
class,1958,7,0.8345828
class,1958,8,0.87161565
class,1958,9,0.128981
class,1959,0,0.8752217
class,1959,1,0.109196424
class,1959,2,0.8837395
class,1959,3,0.14208125
class,1959,4,0.19657525
class,1959,5,0.32853854
class,1959,6,0.92349553
class,1959,7,0.89072114
class,1959,8,0.87251234
class,1959,9,0.886523
class,1960,0,0.8803965
class,1960,1,0.08381892
class,1960,2,0.124769524
class,1960,3,0.888082
class,1960,4,0.90648484
class,1960,5,0.11276987
class,1960,6,0.27372828
class,1960,7,0.9307834
class,1960,8,0.0994759
class,1960,9,0.1787216
class,1961,0,0.0801969
class,1961,1,0.7556697
class,1961,2,0.73100656
class,1961,3,0.07824054
class,1961,4,0.19476593
class,1961,5,0.2523957
class,1961,6,0.07567293
class,1961,7,0.9132383
class,1961,8,0.21482228
class,1961,9,0.13255164
class,1962,0,0.13808493
class,1962,1,0.09899113
class,1962,2,0.86247617
class,1962,3,0.1147602
class,1962,4,0.3577524
class,1962,5,0.8671535
class,1962,6,0.91833663
class,1962,7,0.08736304
class,1962,8,0.8865807
class,1962,9,0.79433894
class,1963,0,0.07719625
class,1963,1,0.8427829
class,1963,2,0.74897796
class,1963,3,0.07889735
class,1963,4,0.064557225
class,1963,5,0.8130256
class,1963,6,0.8374833
class,1963,7,0.13118508
class,1963,8,0.8895702
class,1963,9,0.07039193
class,1964,0,0.8881687
class,1964,1,0.87805194
class,1964,2,0.098485254
class,1964,3,0.92345977
class,1964,4,0.87607175
class,1964,5,0.95491964
class,1964,6,0.9104495
class,1964,7,0.93009984
class,1964,8,0.95714813
class,1964,9,0.05650285
class,1965,0,0.7965184
class,1965,1,0.89697313
class,1965,2,0.39707115
class,1965,3,0.12362179
class,1965,4,0.10790705
class,1965,5,0.8212703
class,1965,6,0.17364667
class,1965,7,0.82429427
class,1965,8,0.07507543
class,1965,9,0.09652131
class,1966,0,0.9196685
class,1966,1,0.0764828
class,1966,2,0.75899047
class,1966,3,0.20053563
class,1966,4,0.76922065
class,1966,5,0.88525826
class,1966,6,0.32242775
class,1966,7,0.89107275
class,1966,8,0.13703708
class,1966,9,0.14988056
class,1967,0,0.92529535
class,1967,1,0.05167866
class,1967,2,0.86658674
class,1967,3,0.92653817
class,1967,4,0.2516864
class,1967,5,0.9171164
class,1967,6,0.8928554
class,1967,7,0.92478913
class,1967,8,0.8545936
class,1967,9,0.90567374
class,1968,0,0.17481032
class,1968,1,0.8827758
class,1968,2,0.87035805
class,1968,3,0.91780823
class,1968,4,0.94841987
class,1968,5,0.9275003
class,1968,6,0.93071157
class,1968,7,0.9265866
class,1968,8,0.14171804
class,1968,9,0.04252546
class,1969,0,0.08764298
class,1969,1,0.91678697
class,1969,2,0.85893816
class,1969,3,0.23047283
class,1969,4,0.88227355
class,1969,5,0.8987193
class,1969,6,0.90264785
class,1969,7,0.903742
class,1969,8,0.16893733
class,1969,9,0.0627206
class,1970,0,0.9477371
class,1970,1,0.8810315
class,1970,2,0.06567223
class,1970,3,0.943784
class,1970,4,0.17744495
class,1970,5,0.5933704
class,1970,6,0.10785807
class,1970,7,0.1375589
class,1970,8,0.820669
class,1970,9,0.8420811
class,1971,0,0.13741021
class,1971,1,0.2107987
class,1971,2,0.19142662
class,1971,3,0.103695795
class,1971,4,0.92378134
class,1971,5,0.92833763
class,1971,6,0.8611028
class,1971,7,0.92267
class,1971,8,0.9105909
class,1971,9,0.15287095
class,1972,0,0.84854025
class,1972,1,0.9139454
class,1972,2,0.8702278
class,1972,3,0.90706146
class,1972,4,0.7199623
class,1972,5,0.12638766
class,1972,6,0.23831467
class,1972,7,0.10914074
class,1972,8,0.07514711
class,1972,9,0.14742649
class,1973,0,0.9433049
class,1973,1,0.096067294
class,1973,2,0.8967836
class,1973,3,0.18943444
class,1973,4,0.88829994
class,1973,5,0.87349564
class,1973,6,0.17743497
class,1973,7,0.092865966
class,1973,8,0.9238185
class,1973,9,0.9145699
class,1974,0,0.08133899
class,1974,1,0.08715973
class,1974,2,0.91727823
class,1974,3,0.9348414
class,1974,4,0.9423365
class,1974,5,0.88206184
class,1974,6,0.8411459
class,1974,7,0.2597533
class,1974,8,0.085501716
class,1974,9,0.91419244
class,1975,0,0.909341
class,1975,1,0.7859559
class,1975,2,0.21797223
class,1975,3,0.071781956
class,1975,4,0.18017665
class,1975,5,0.116280586
class,1975,6,0.91133225
class,1975,7,0.9248977
class,1975,8,0.8570496
class,1975,9,0.8833706
class,1976,0,0.08950576
class,1976,1,0.1283079
class,1976,2,0.15317158
class,1976,3,0.9044299
class,1976,4,0.17011712
class,1976,5,0.71972626
class,1976,6,0.86127067
class,1976,7,0.8139364
class,1976,8,0.10814683
class,1976,9,0.15178663
class,1977,0,0.9076538
class,1977,1,0.79126745
class,1977,2,0.92312515
class,1977,3,0.07844688
class,1977,4,0.8337564
class,1977,5,0.13086848
class,1977,6,0.81059265
class,1977,7,0.14561567
class,1977,8,0.112998374
class,1977,9,0.29499778
class,1978,0,0.18741977
class,1978,1,0.1898912
class,1978,2,0.19986743
class,1978,3,0.08964437
class,1978,4,0.24641079
class,1978,5,0.81770915
class,1978,6,0.12922217
class,1978,7,0.157701
class,1978,8,0.091755085
class,1978,9,0.7870943
class,1979,0,0.9220341
class,1979,1,0.9167224
class,1979,2,0.09445756
class,1979,3,0.8646155
class,1979,4,0.31148207
class,1979,5,0.19262424
class,1979,6,0.14529993
class,1979,7,0.091024235
class,1979,8,0.12948282
class,1979,9,0.8534348
class,1980,0,0.9221373
class,1980,1,0.22200468
class,1980,2,0.23459877
class,1980,3,0.9699141
class,1980,4,0.9032824
class,1980,5,0.88508546
class,1980,6,0.9641483
class,1980,7,0.9257889
class,1980,8,0.90837675
class,1980,9,0.93143135
class,1981,0,0.80858284
class,1981,1,0.07594479
class,1981,2,0.07772971
class,1981,3,0.91814554
class,1981,4,0.7811728
class,1981,5,0.09710479
class,1981,6,0.15149936
class,1981,7,0.8588793
class,1981,8,0.10223198
class,1981,9,0.90992683
class,1982,0,0.67171705
class,1982,1,0.10158525
class,1982,2,0.3038442
class,1982,3,0.8997543
class,1982,4,0.1427231
class,1982,5,0.12630334
class,1982,6,0.12641148
class,1982,7,0.072347455
class,1982,8,0.07972533
class,1982,9,0.15539843
class,1983,0,0.90941805
class,1983,1,0.90543866
class,1983,2,0.12534243
class,1983,3,0.10065062
class,1983,4,0.7507046
class,1983,5,0.22827035
class,1983,6,0.08161851
class,1983,7,0.16120659
class,1983,8,0.8393476
class,1983,9,0.87414217
class,1984,0,0.0945607
class,1984,1,0.84168106
class,1984,2,0.9230123
class,1984,3,0.116583206
class,1984,4,0.9196928
class,1984,5,0.18933962
class,1984,6,0.8969104
class,1984,7,0.91168654
class,1984,8,0.90968794
class,1984,9,0.91486526
class,1985,0,0.10183594
class,1985,1,0.11510268
class,1985,2,0.19837794
class,1985,3,0.09727627
class,1985,4,0.46823302
class,1985,5,0.8518834
class,1985,6,0.0840947
class,1985,7,0.09817719
class,1985,8,0.79946655
class,1985,9,0.1804012
class,1986,0,0.88607144
class,1986,1,0.8674195
class,1986,2,0.22976466
class,1986,3,0.061776828
class,1986,4,0.12432985
class,1986,5,0.28757656
class,1986,6,0.87298506
class,1986,7,0.92031425
class,1986,8,0.8679464
class,1986,9,0.24173023
class,1987,0,0.10234045
class,1987,1,0.916924
class,1987,2,0.8303689
class,1987,3,0.9009277
class,1987,4,0.76966906
class,1987,5,0.05858942
class,1987,6,0.29294598
class,1987,7,0.8608794
class,1987,8,0.08178626
class,1987,9,0.8878937
class,1988,0,0.89503187
class,1988,1,0.91305166
class,1988,2,0.6393152
class,1988,3,0.9233646
class,1988,4,0.18441337
class,1988,5,0.3400229
class,1988,6,0.75039274
class,1988,7,0.06608877
class,1988,8,0.11617244
class,1988,9,0.16583209
class,1989,0,0.946369
class,1989,1,0.21132095
class,1989,2,0.1442362
class,1989,3,0.089754164
class,1989,4,0.91358304
class,1989,5,0.21276592
class,1989,6,0.3626894
class,1989,7,0.89053965
class,1989,8,0.90279025
class,1989,9,0.8770782
class,1990,0,0.124669954
class,1990,1,0.9153317
class,1990,2,0.9190068
class,1990,3,0.084169395
class,1990,4,0.85017097
class,1990,5,0.10438588
class,1990,6,0.088525936
class,1990,7,0.12474
class,1990,8,0.8182627
class,1990,9,0.84497863
class,1991,0,0.8461446
class,1991,1,0.08402821
class,1991,2,0.24049369
class,1991,3,0.06574586
class,1991,4,0.15005854
class,1991,5,0.7256783
class,1991,6,0.2980788
class,1991,7,0.8471067
class,1991,8,0.7354977
class,1991,9,0.103521176
class,1992,0,0.083696775
class,1992,1,0.094031595
class,1992,2,0.113821946
class,1992,3,0.9128383
class,1992,4,0.92592293
class,1992,5,0.25551376
class,1992,6,0.8574224
class,1992,7,0.2509251
class,1992,8,0.8532813
class,1992,9,0.8251275
class,1993,0,0.91786873
class,1993,1,0.20238282
class,1993,2,0.6580813
class,1993,3,0.94530606
class,1993,4,0.24121416
class,1993,5,0.19440821
class,1993,6,0.88817316
class,1993,7,0.93106604
class,1993,8,0.1305941
class,1993,9,0.33630306
class,1994,0,0.11618373
class,1994,1,0.887232
class,1994,2,0.6224155
class,1994,3,0.8298187
class,1994,4,0.20066631
class,1994,5,0.13126396
class,1994,6,0.20040812
class,1994,7,0.095249996
class,1994,8,0.18275948
class,1994,9,0.15889493
class,1995,0,0.85787606
class,1995,1,0.8686466
class,1995,2,0.14974196
class,1995,3,0.15551804
class,1995,4,0.1599791
class,1995,5,0.26410007
class,1995,6,0.91572
class,1995,7,0.85774493
class,1995,8,0.08732159
class,1995,9,0.7759538
class,1996,0,0.12506498
class,1996,1,0.1058694
class,1996,2,0.0895127
class,1996,3,0.86564046
class,1996,4,0.21506628
class,1996,5,0.16213426
class,1996,6,0.72116876
class,1996,7,0.9021393
class,1996,8,0.14181367
class,1996,9,0.87804186
class,1997,0,0.0676087
class,1997,1,0.10497679
class,1997,2,0.73557717
class,1997,3,0.8656073
class,1997,4,0.20681904
class,1997,5,0.12894626
class,1997,6,0.888549
class,1997,7,0.91060567
class,1997,8,0.91783303
class,1997,9,0.122535326
class,1998,0,0.9505201
class,1998,1,0.13863367
class,1998,2,0.04941387
class,1998,3,0.9597392
class,1998,4,0.9247829
class,1998,5,0.8782705
class,1998,6,0.91716444
class,1998,7,0.9285723
class,1998,8,0.33498242
class,1998,9,0.1238574
class,1999,0,0.19842789
class,1999,1,0.12195485
class,1999,2,0.7285205
class,1999,3,0.95848674
class,1999,4,0.85473466
class,1999,5,0.66496855
class,1999,6,0.8871135
class,1999,7,0.06775975
class,1999,8,0.90072364
class,1999,9,0.91252005
class,2000,0,0.9448145
class,2000,1,0.95387137
class,2000,2,0.93636405
class,2000,3,0.94529176
class,2000,4,0.9594385
class,2000,5,0.94905823
class,2000,6,0.9510763
class,2000,7,0.065743454
class,2000,8,0.96529335
class,2000,9,0.2253973
class,2001,0,0.9139296
class,2001,1,0.89617676
class,2001,2,0.8268411
class,2001,3,0.9152361
class,2001,4,0.06540958
class,2001,5,0.91415054
class,2001,6,0.54568005
class,2001,7,0.062697984
class,2001,8,0.13861988
class,2001,9,0.8245413
class,2002,0,0.8741706
class,2002,1,0.08158309
class,2002,2,0.13886455
class,2002,3,0.91608965
class,2002,4,0.89386046
class,2002,5,0.10571007
class,2002,6,0.84539676
class,2002,7,0.17440787
class,2002,8,0.8346377
class,2002,9,0.15366636
class,2003,0,0.8962154
class,2003,1,0.12365801
class,2003,2,0.6481925
class,2003,3,0.07644722
class,2003,4,0.10773462
class,2003,5,0.90157646
class,2003,6,0.6697405
class,2003,7,0.11459627
class,2003,8,0.85802
class,2003,9,0.107270814
class,2004,0,0.9242996
class,2004,1,0.9398059
class,2004,2,0.91817373
class,2004,3,0.3895935
class,2004,4,0.07935057
class,2004,5,0.9274547
class,2004,6,0.33462772
class,2004,7,0.94217944
class,2004,8,0.9275818
class,2004,9,0.8754501
class,2005,0,0.13001719
class,2005,1,0.07579323
class,2005,2,0.8633696
class,2005,3,0.8088698
class,2005,4,0.23722531
class,2005,5,0.22248554
class,2005,6,0.07926505
class,2005,7,0.13036811
class,2005,8,0.08407123
class,2005,9,0.09466448
class,2006,0,0.11256985
class,2006,1,0.92975825
class,2006,2,0.9126189
class,2006,3,0.9107165
class,2006,4,0.9058674
class,2006,5,0.2155535
class,2006,6,0.4127553
class,2006,7,0.82267684
class,2006,8,0.12945987
class,2006,9,0.8824575
class,2007,0,0.91613907
class,2007,1,0.91933113
class,2007,2,0.7632697
class,2007,3,0.0630137
class,2007,4,0.095348805
class,2007,5,0.115178764
class,2007,6,0.7180318
class,2007,7,0.10363528
class,2007,8,0.8785943
class,2007,9,0.07376021
class,2008,0,0.7072331
class,2008,1,0.040827345
class,2008,2,0.1673654
class,2008,3,0.15765351
class,2008,4,0.82266784
class,2008,5,0.8676335
class,2008,6,0.59780675
class,2008,7,0.8950184
class,2008,8,0.8645499
class,2008,9,0.31085598
class,2009,0,0.9218982
class,2009,1,0.9461084
class,2009,2,0.10451675
class,2009,3,0.8934467
class,2009,4,0.93155265
class,2009,5,0.90465045
class,2009,6,0.18082777
class,2009,7,0.89104116
class,2009,8,0.10179486
class,2009,9,0.9249033
class,2010,0,0.11447543
class,2010,1,0.054951467
class,2010,2,0.8198849
class,2010,3,0.9054638
class,2010,4,0.8911065
class,2010,5,0.88544554
class,2010,6,0.044745002
class,2010,7,0.12603943
class,2010,8,0.85656357
class,2010,9,0.8819178
class,2011,0,0.92178446
class,2011,1,0.90187925
class,2011,2,0.7395748
class,2011,3,0.15168385
class,2011,4,0.88786006
class,2011,5,0.6798892
class,2011,6,0.122004025
class,2011,7,0.09742312
class,2011,8,0.95608765
class,2011,9,0.1472795
class,2012,0,0.11488503
class,2012,1,0.9224905
class,2012,2,0.92299485
class,2012,3,0.10650879
class,2012,4,0.15865126
class,2012,5,0.9064608
class,2012,6,0.08123246
class,2012,7,0.07229641
class,2012,8,0.9095268
class,2012,9,0.1424634
class,2013,0,0.951539
class,2013,1,0.9614457
class,2013,2,0.8958059
class,2013,3,0.96812814
class,2013,4,0.9473192
class,2013,5,0.93440366
class,2013,6,0.94200706
class,2013,7,0.08741958
class,2013,8,0.0778376
class,2013,9,0.93264204
class,2014,0,0.123929635
class,2014,1,0.06950162
class,2014,2,0.8574494
class,2014,3,0.91241884
class,2014,4,0.13111134
class,2014,5,0.9517304
class,2014,6,0.20248976
class,2014,7,0.11498039
class,2014,8,0.9283933
class,2014,9,0.7306803
class,2015,0,0.07481254
class,2015,1,0.05960699
class,2015,2,0.08379994
class,2015,3,0.8905863
class,2015,4,0.2449839
class,2015,5,0.87223125
class,2015,6,0.9044294
class,2015,7,0.08154434
class,2015,8,0.8896124
class,2015,9,0.7722143
class,2016,0,0.085595936
class,2016,1,0.054024175
class,2016,2,0.8788946
class,2016,3,0.9309662
class,2016,4,0.84662986
class,2016,5,0.85576975
class,2016,6,0.16295506
class,2016,7,0.116790034
class,2016,8,0.070700355
class,2016,9,0.23777992
class,2017,0,0.6214468
class,2017,1,0.13115662
class,2017,2,0.2095726
class,2017,3,0.10719544
class,2017,4,0.7411442
class,2017,5,0.2493818
class,2017,6,0.8418192
class,2017,7,0.10514058
class,2017,8,0.23472472
class,2017,9,0.08974178
class,2018,0,0.24007878
class,2018,1,0.9320223
class,2018,2,0.14034595
class,2018,3,0.9461578
class,2018,4,0.9257095
class,2018,5,0.19409493
class,2018,6,0.8132969
class,2018,7,0.085354194
class,2018,8,0.90411705
class,2018,9,0.8184371
class,2019,0,0.090000674
class,2019,1,0.093396045
class,2019,2,0.8788197
class,2019,3,0.9039487
class,2019,4,0.92084646
class,2019,5,0.86683726
class,2019,6,0.10092431
class,2019,7,0.87387955
class,2019,8,0.09480016
class,2019,9,0.18908338
class,2020,0,0.058375597
class,2020,1,0.07783655
class,2020,2,0.19057287
class,2020,3,0.09206227
class,2020,4,0.13664629
class,2020,5,0.5957751
class,2020,6,0.26427254
class,2020,7,0.73083305
class,2020,8,0.10671615
class,2020,9,0.13454255
class,2021,0,0.9250156
class,2021,1,0.95633906
class,2021,2,0.91063833
class,2021,3,0.039454512
class,2021,4,0.16176715
class,2021,5,0.93021643
class,2021,6,0.9230196
class,2021,7,0.9167224
class,2021,8,0.94002336
class,2021,9,0.8641462
class,2022,0,0.8330504
class,2022,1,0.15536395
class,2022,2,0.06841072
class,2022,3,0.8884147
class,2022,4,0.92789924
class,2022,5,0.9297093
class,2022,6,0.9253358
class,2022,7,0.17131226
class,2022,8,0.9072983
class,2022,9,0.19631843
class,2023,0,0.8561284
class,2023,1,0.083855316
class,2023,2,0.8702603
class,2023,3,0.29808405
class,2023,4,0.7667653
class,2023,5,0.12796192
class,2023,6,0.9244404
class,2023,7,0.09072937
class,2023,8,0.13140646
class,2023,9,0.2576149
class,2024,0,0.94513756
class,2024,1,0.9415469
class,2024,2,0.13225393
class,2024,3,0.91175157
class,2024,4,0.10509855
class,2024,5,0.2717476
class,2024,6,0.89913565
class,2024,7,0.93587273
class,2024,8,0.9289119
class,2024,9,0.8963139
class,2025,0,0.8997166
class,2025,1,0.8524423
class,2025,2,0.060541578
class,2025,3,0.08813159
class,2025,4,0.28712255
class,2025,5,0.2421167
class,2025,6,0.24651876
class,2025,7,0.78833497
class,2025,8,0.79663986
class,2025,9,0.86603266
class,2026,0,0.08018327
class,2026,1,0.059724286
class,2026,2,0.105758496
class,2026,3,0.93312764
class,2026,4,0.8190201
class,2026,5,0.13385703
class,2026,6,0.9086968
class,2026,7,0.21422276
class,2026,8,0.8954411
class,2026,9,0.08411033
class,2027,0,0.84960806
class,2027,1,0.89782816
class,2027,2,0.2254296
class,2027,3,0.26374528
class,2027,4,0.21048866
class,2027,5,0.07429806
class,2027,6,0.77905875
class,2027,7,0.1847082
class,2027,8,0.10055282
class,2027,9,0.10620122
class,2028,0,0.8734147
class,2028,1,0.927457
class,2028,2,0.17266497
class,2028,3,0.18845776
class,2028,4,0.17166515
class,2028,5,0.78810877
class,2028,6,0.076213695
class,2028,7,0.108591735
class,2028,8,0.08272634
class,2028,9,0.8103125
class,2029,0,0.0843199
class,2029,1,0.9240023
class,2029,2,0.64175165
class,2029,3,0.20885578
class,2029,4,0.6342509
class,2029,5,0.17436336
class,2029,6,0.8852424
class,2029,7,0.07808282
class,2029,8,0.09356382
class,2029,9,0.9168875
class,2030,0,0.8903972
class,2030,1,0.046927854
class,2030,2,0.78650165
class,2030,3,0.102612026
class,2030,4,0.32618847
class,2030,5,0.22704142
class,2030,6,0.89339143
class,2030,7,0.8583379
class,2030,8,0.070988104
class,2030,9,0.8908284
class,2031,0,0.89796555
class,2031,1,0.12410686
class,2031,2,0.27648026
class,2031,3,0.1132154
class,2031,4,0.7109509
class,2031,5,0.12048173
class,2031,6,0.91817087
class,2031,7,0.2828796
class,2031,8,0.73177195
class,2031,9,0.4506727
class,2032,0,0.8409938
class,2032,1,0.87313133
class,2032,2,0.17372371
class,2032,3,0.9556932
class,2032,4,0.93373835
class,2032,5,0.9362916
class,2032,6,0.8996858
class,2032,7,0.871936
class,2032,8,0.0690156
class,2032,9,0.25092876
class,2033,0,0.19339588
class,2033,1,0.8909004
class,2033,2,0.2593524
class,2033,3,0.92189056
class,2033,4,0.32630616
class,2033,5,0.07010013
class,2033,6,0.8729286
class,2033,7,0.88011765
class,2033,8,0.045645744
class,2033,9,0.13018489
class,2034,0,0.9574086
class,2034,1,0.25501043
class,2034,2,0.87638396
class,2034,3,0.0712911
class,2034,4,0.9162642
class,2034,5,0.17890857
class,2034,6,0.92170477
class,2034,7,0.12956458
class,2034,8,0.92501235
class,2034,9,0.8866651
class,2035,0,0.07263964
class,2035,1,0.08520433
class,2035,2,0.06369108
class,2035,3,0.87726676
class,2035,4,0.29993245
class,2035,5,0.2093437
class,2035,6,0.7609482
class,2035,7,0.060988206
class,2035,8,0.09456255
class,2035,9,0.7478265
class,2036,0,0.93215334
class,2036,1,0.9375912
class,2036,2,0.91669273
class,2036,3,0.8552549
class,2036,4,0.09125194
class,2036,5,0.12183729
class,2036,6,0.21224
class,2036,7,0.09289991
class,2036,8,0.89755213
class,2036,9,0.72187257
class,2037,0,0.077588364
class,2037,1,0.26486236
class,2037,2,0.6967161
class,2037,3,0.15216456
class,2037,4,0.1759517
class,2037,5,0.8608553
class,2037,6,0.32011715
class,2037,7,0.92599386
class,2037,8,0.14075097
class,2037,9,0.23852691
class,2038,0,0.7548408
class,2038,1,0.87312543
class,2038,2,0.8191639
class,2038,3,0.15149671
class,2038,4,0.905899
class,2038,5,0.16515969
class,2038,6,0.09714
class,2038,7,0.14490245
class,2038,8,0.08057627
class,2038,9,0.55110383
class,2039,0,0.85498613
class,2039,1,0.10133133
class,2039,2,0.13108091
class,2039,3,0.05546624
class,2039,4,0.14336878
class,2039,5,0.18206249
class,2039,6,0.89006406
class,2039,7,0.1424623
class,2039,8,0.8184788
class,2039,9,0.1401147
class,2040,0,0.88674414
class,2040,1,0.16419773
class,2040,2,0.08414665
class,2040,3,0.118597716
class,2040,4,0.08669243
class,2040,5,0.8352977
class,2040,6,0.17409281
class,2040,7,0.8177511
class,2040,8,0.86702925
class,2040,9,0.83113635
class,2041,0,0.19236672
class,2041,1,0.08690545
class,2041,2,0.87898797
class,2041,3,0.91395956
class,2041,4,0.25095412
class,2041,5,0.9081962
class,2041,6,0.92138016
class,2041,7,0.81472534
class,2041,8,0.94547004
class,2041,9,0.14016041
class,2042,0,0.80172557
class,2042,1,0.22573909
class,2042,2,0.16859554
class,2042,3,0.13392985
class,2042,4,0.14699051
class,2042,5,0.7289146
class,2042,6,0.75733024
class,2042,7,0.9153957
class,2042,8,0.1761938
class,2042,9,0.18115777
class,2043,0,0.8650639
class,2043,1,0.061641015
class,2043,2,0.13144161
class,2043,3,0.0769906
class,2043,4,0.30617738
class,2043,5,0.15027402
class,2043,6,0.48333228
class,2043,7,0.07946075
class,2043,8,0.12674633
class,2043,9,0.23070954
class,2044,0,0.8925963
class,2044,1,0.9064339
class,2044,2,0.90731776
class,2044,3,0.9428221
class,2044,4,0.8838635
class,2044,5,0.9475555
class,2044,6,0.15866426
class,2044,7,0.9205148
class,2044,8,0.12217123
class,2044,9,0.2113477
class,2045,0,0.9268913
class,2045,1,0.927199
class,2045,2,0.8373171
class,2045,3,0.21085596
class,2045,4,0.7778604
class,2045,5,0.13276544
class,2045,6,0.14930595
class,2045,7,0.21176477
class,2045,8,0.06477799
class,2045,9,0.8976582
class,2046,0,0.9279005
class,2046,1,0.935485
class,2046,2,0.21612808
class,2046,3,0.07232449
class,2046,4,0.83498836
class,2046,5,0.35526264
class,2046,6,0.096929684
class,2046,7,0.9124021
class,2046,8,0.89031565
class,2046,9,0.9012705
class,2047,0,0.88398683
class,2047,1,0.9431711
class,2047,2,0.8612553
class,2047,3,0.89508665
class,2047,4,0.16158855
class,2047,5,0.87995315
class,2047,6,0.22386537
class,2047,7,0.1029785
class,2047,8,0.08433156
class,2047,9,0.41120517
class,2048,0,0.19982721
class,2048,1,0.9348799
class,2048,2,0.8414357
class,2048,3,0.063192055
class,2048,4,0.28184295
class,2048,5,0.8952812
class,2048,6,0.11154488
class,2048,7,0.87424207
class,2048,8,0.8843166
class,2048,9,0.1810527
class,2049,0,0.9021949
class,2049,1,0.07180531
class,2049,2,0.1892656
class,2049,3,0.21170396
class,2049,4,0.9039093
class,2049,5,0.8701784
class,2049,6,0.069084555
class,2049,7,0.90371424
class,2049,8,0.83001435
class,2049,9,0.8751123
class,2050,0,0.09827502
